Godot Engine v4.2.2.stable.official.15073afe3 - https://godotengine.org
 
=== 資訊網 warring 對照床 seed=1337 months=1(ticks=7200) ===
[GameSetup] 完成：49 teams, 8 factions, 129 persons
[SpecimenDumpHelper] specimen_team_ids=[0, 2, 4, 7, 9, 12, 14, 17, 19, 22, 24, 26, 29, 31, 34, 36, 39, 41, 44, 46]（enabled=true，dump 前記呼 SpecimenDumpHelper.dump）
[Sub] Team0 派出子隊 Team49 leader=P1 advisors=[] (pop=3 cap=8 task=擴建)
[Infra] Team0 派擴建子隊 Team49 → (9,14) stable
[Sub] Team5 派出子隊 Team50 leader=P14 advisors=[] (pop=3 cap=15 task=擴建)
[Infra] Team5 派擴建子隊 Team50 → (2,21) stable
[Sub] Team10 派出子隊 Team51 leader=P28 advisors=[] (pop=3 cap=7 task=擴建)
[Infra] Team10 派擴建子隊 Team51 → (10,27) stable
[Sub] Team17 派出子隊 Team52 leader=P44 advisors=[] (pop=3 cap=14 task=擴建)
[Infra] Team17 派擴建子隊 Team52 → (8,22) stable
[Site] Faction5 派工失敗: pop 不足: 10 < 12 (需 { "material": 50, "tools": 0 })
[Site] Faction6 派工失敗: pop 不足: 8 < 12 (需 { "material": 50, "tools": 0 })
[Site] Faction7 派工失敗: pop 不足: 8 < 12 (需 { "material": 50, "tools": 0 })
[SoloAI] Team32 → 貿易 (囤貨)
[SoloAI] Team33 → 覓食 (覓食)
[SoloAI] Team34 → 覓食 (覓食)
[SoloAI] Team35 → 貿易 (囤貨)
[SoloAI] Team36 → 覓食 (覓食)
[Site] Faction-1 派工失敗: 資源不足 1.5x: material 有 60(公庫0+私60) (需 { "material": 50, "tools": 0 })
[SoloAI] Team37 → 覓食 (覓食)
[SoloAI] Team38 → 覓食 (覓食)
[SoloAI] Team39 → 覓食 (覓食)
[SoloAI] Team40 → 覓食 (覓食)
[SoloAI] Team41 → 覓食 (覓食)
[SoloAI] Team42 → 貿易 (囤貨)
[SoloAI] Team43 → 貿易 (囤貨)
[SoloAI] Team44 → 覓食 (覓食)
[SoloAI] Team45 → 建設 (建設)
[SoloAI] Team46 → 覓食 (覓食)
[SoloAI] Team47 → 覓食 (覓食)
[Order] Team0 sell weapon_melee_low ×2 (oid=0)
[Order] Team0 sell food ×1110 (oid=1)
[Order] Team0 buy weapon_ranged_low ×2 (oid=2)
[Order] Team0 buy material ×24 (oid=3)
[Order] Team0 buy tools ×2 (oid=4)
[Order] Team1 sell weapon_melee_low ×1 (oid=5)
[Order] Team1 sell material ×30 (oid=6)
[Order] Team1 buy weapon_ranged_low ×1 (oid=7)
[Order] Team1 buy tools ×1 (oid=8)
[Order] Team2 sell weapon_melee_low ×1 (oid=9)
[Order] Team2 sell material ×30 (oid=10)
[Order] Team2 buy weapon_ranged_low ×2 (oid=11)
[Order] Team2 buy tools ×1 (oid=12)
[Order] Team3 sell weapon_melee_low ×1 (oid=13)
[Order] Team3 sell material ×30 (oid=14)
[Order] Team3 buy weapon_ranged_low ×2 (oid=15)
[Order] Team3 buy tools ×1 (oid=16)
[Order] Team4 sell material ×30 (oid=17)
[Order] Team4 buy weapon_ranged_low ×2 (oid=18)
[Order] Team4 buy tools ×1 (oid=19)
[Order] Team5 sell weapon_melee_low ×2 (oid=20)
[Order] Team5 sell material ×16 (oid=21)
[Order] Team5 sell food ×1130 (oid=22)
[Order] Team5 buy weapon_ranged_low ×2 (oid=23)
[Order] Team5 buy tools ×1 (oid=24)
[Order] Team6 buy weapon_ranged_low ×2 (oid=25)
[Order] Team6 buy tools ×1 (oid=26)
[Order] Team7 buy weapon_ranged_low ×1 (oid=27)
[Order] Team8 buy weapon_ranged_low ×1 (oid=28)
[Order] Team8 buy tools ×1 (oid=29)
[Order] Team9 buy weapon_ranged_low ×1 (oid=30)
[Order] Team9 buy tools ×1 (oid=31)
[Order] Team10 sell weapon_melee_low ×2 (oid=32)
[Order] Team10 sell food ×1088 (oid=33)
[Order] Team10 buy weapon_ranged_low ×1 (oid=34)
[Order] Team10 buy material ×24 (oid=35)
[Order] Team10 buy tools ×2 (oid=36)
[Order] Team11 sell weapon_melee_low ×1 (oid=37)
[Order] Team11 sell material ×30 (oid=38)
[Order] Team11 buy weapon_ranged_low ×1 (oid=39)
[Order] Team11 buy tools ×1 (oid=40)
[Order] Team12 sell weapon_melee_low ×4 (oid=41)
